slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
goracle-mainnet,Goracle,!offer:goracle,"[""[Docs](https://goranetwork.github.io/doc/#classic-oracle-on-algorand)"",""[GitHub](https://github.com/GoraNetwork)""]",mainnet,TypeScript,FALSE,"[""Algorand ABI""]","[""Observer node"",""Gora CLI request tracing""]",Blockchain infrastructure,"Price, Volume, Market cap",Decentralized,Yes,Economic incentives secure the network,JavaScript,Yes,oracles
goracle-testnet,Goracle,!offer:goracle,"[""[Docs](https://goranetwork.github.io/doc/#classic-oracle-on-algorand)"",""[GitHub](https://github.com/GoraNetwork)""]",testnet,TypeScript,FALSE,"Chain data, Block info, Transaction status",Basic,Blockchain infrastructure,"Price, Volume, Market cap",Decentralized,Yes,Economic incentives secure the network,JavaScript,Yes,oracles
tellor-mainnet,Tellor,!offer:tellor,"[""[Price Feeds](https://github.com/tellor-io/algorandTellorV2#current-price-feeds--)"",""[Docs](https://docs.tellor.io/tellor)""]",mainnet,TypeScript,FALSE,"Chain data, Block info, Transaction status",Basic,Blockchain infrastructure,"Price, Volume, Market cap",Decentralized,Yes,Economic incentives secure the network,JavaScript,Yes,oracles
